"","dcode","dname","month","wasteamt"
"284",1008,"ป้อมปราบศัตรูพ่าย","03-2018",2591.2
"285",1014,"พญาไท","03-2018",5492.27
"286",1009,"พระโขนง","03-2018",4450.39
"287",1001,"พระนคร","03-2018",5996.31
"288",1022,"ภาษีเจริญ","03-2018",5248.31
"289",1010,"มีนบุรี","03-2018",5787.99
"290",1012,"ยานนาวา","03-2018",5747.1
"291",1037,"ราชเทวี","03-2018",6813.36
"292",1024,"ราษฎร์บูรณะ","03-2018",3702.9
"293",1011,"ลาดกระบัง","03-2018",9146.79
"294",1038,"ลาดพร้าว","03-2018",6643.2
"295",1045,"วังทองหลาง","03-2018",7331.87
"296",1039,"วัฒนา","03-2018",9015.92
"297",1034,"สวนหลวง","03-2018",7083.1
"298",1044,"สะพานสูง","03-2018",3929.24
"299",1013,"สัมพันธวงศ์","03-2018",1711.08
"300",1028,"สาทร","03-2018",5009.03
"301",1042,"สายไหม","03-2018",7441.21
"302",1023,"หนองแขม","03-2018",5684.9
"303",1003,"หนองจอก","03-2018",4135.21
"304",1041,"หลักสี่","03-2018",6034.83
"305",1017,"ห้วยขวาง","03-2018",7240.8
"306",1000,"อื่นๆ","03-2018",17906.48
"307",1033,"คลองเตย","04-2018",8712.35
"308",1018,"คลองสาน","04-2018",3725.06
"309",1046,"คลองสามวา","04-2018",5635.02
"310",1043,"คันนายาว","04-2018",4237.22
"311",1030,"จตุจักร","04-2018",12403.8
"312",1035,"จอมทอง","04-2018",6200.64
"313",1036,"ดอนเมือง","04-2018",6297.95
"314",1026,"ดินแดง","04-2018",8569.7
"315",1002,"ดุสิต","04-2018",4859.39
"316",1019,"ตลิ่งชัน","04-2018",4524.61
"317",1048,"ทวีวัฒนา","04-2018",3122.74
"318",1049,"ทุ่งครุ","04-2018",4327.12
"319",1015,"ธนบุรี","04-2018",4911.99
"320",1020,"บางกอกน้อย","04-2018",4998.14
"321",1016,"บางกอกใหญ่","04-2018",2297.14
"322",1006,"บางกะปิ","04-2018",9989.96
"323",1021,"บางขุนเทียน","04-2018",9947.26
"324",1005,"บางเขน","04-2018",8955.44
"325",1031,"บางคอแหลม","04-2018",4047.56
"326",1040,"บางแค","04-2018",8297.84
"327",1029,"บางซื่อ","04-2018",4861.2
"328",1047,"บางนา","04-2018",6600.62
"329",1050,"บางบอน","04-2018",6597.85
"330",1025,"บางพลัด","04-2018",4704.84
"331",1004,"บางรัก","04-2018",4352.92
"332",1027,"บึงกุ่ม","04-2018",5968.32
"333",1007,"ปทุมวัน","04-2018",8985.14
"334",1032,"ประเวศ","04-2018",8472.81
"335",1008,"ป้อมปราบศัตรูพ่าย","04-2018",2352.31
"336",1014,"พญาไท","04-2018",5042.16
"337",1009,"พระโขนง","04-2018",4252.77
"338",1001,"พระนคร","04-2018",5853.09
"339",1022,"ภาษีเจริญ","04-2018",4683.46
"340",1010,"มีนบุรี","04-2018",5546.15
"341",1012,"ยานนาวา","04-2018",5429.96
"342",1037,"ราชเทวี","04-2018",6552.85
"343",1024,"ราษฎร์บูรณะ","04-2018",3619.44
"344",1011,"ลาดกระบัง","04-2018",8552.31
